"","Country","HDI","HDICategory","Age","Gender","Kids","Education","WorkStatus","AnnIncome","Occupation","TenureY","TenureM","CommSize","Marital","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfP","OthersP","DPMean","AIPMean","GPMean","SWLSMean"
"1","Afghanistan",0.479,"Low human development",55,"Male","No","deg","full-time",87500,"",0,6,"Large Town","Married",0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,3,3.2,2.4
"2","Afghanistan",0.479,"Low human development",55,"Female","Yes","deg","full-time",10000,"",7,0,"Village","Divorced",4,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3.2,3,2.8,1.4
"3","Afghanistan",0.479,"Low human development",80,"Female","No","grade","unemployed",10000,"",0,0,"Medium-Sized","Single",0,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no",3,3,3.2,2.8
"4","Afghanistan",0.479,"Low human development",55,"Male","Yes","ma","full-time",150000,"",0,0,"Large Town","Married",4,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.6,4,3.7,2.4
"5","Albania",0.764,"High human development",67,"Male","Yes","deg","part-time",87500,"Consultant",4,0,"Large-City","Divorced",0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.4,2,3,3.8
"6","Albania",0.764,"High human development",45,"Female","No","ltuni","full-time",150000,"",0,0,"Large Town","Single",0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2,3.9,3
"7","Algeria",0.745,"High human development",45,"Male","Yes","ma","full-time",35000,"",10,0,"Village","Married",2,0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,"yes","yes",4.2,3,3.4,3.6
"8","Algeria",0.745,"High human development",55,"Female","Yes","dip","full-time",55000,"Civil Service",28,0,"Large-City","Married",0,4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,"yes","no",1.6,2,2.35,3.8
"9","Algeria",0.745,"High human development",37,"Female","No","deg","full-time",67500,"",9,6,"Village","Married",0,0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,"yes","no",4.4,3,3.4,4.2
"10","Andorra",0.858,"Very high human development",80,"Male","No","ma","retired",45000,"Retired",17,0,"Medium-Sized","Single",0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,"no","no",1.4,1,2.05,4
"11","Andorra",0.858,"Very high human development",55,"Male","Yes","ma","full-time",250000,"Finance",23,0,"Large-City","Married",0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2,2,2.55,3.6
"12","Angola",0.533,"Low human development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Antigua and Barbuda",0.786,"High human development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Argentina",0.827,"Very high human development",16,"Female","No","lthigh","student",10000,"",1,0,"Small Town","Single",0,0,2,3,2,1,1,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3,4,4,4,2,"yes","no",1.8,3,3.25,3.4
"15","Argentina",0.827,"Very high human development",45,"Male","Yes","deg","full-time",55000,"",7,0,"Village","Married",1,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,2.95,3.6
"16","Argentina",0.827,"Very high human development",67,"Male","Yes","","part-time",150000,"Business Consulta",12,0,"Small Town","Married",3,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"","no",3,3,2.6,3.4
"17","Argentina",0.827,"Very high human development",32,"Female","No","deg","full-time",67500,"Manager",3,0,"Large-City","Single",0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",1.8,2,2.35,3.6
"18","Armenia",0.743,"High human development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Australia",0.939,"Very high human development",32,"Male","No","ltuni","full-time",45000,"Service Co-ordinator",0,7,"Large-City","Single",0,0,4,4,4,3,3,4,5,3,5,3,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,1,1,2,1,3,"yes","yes",3.6,4,4.1,1.6
"20","Australia",0.939,"Very high human development",28,"Male","No","deg","student",15000,"",0,3,"Small Town","Married",0,0,3,3,3,2,2,2,3,4,3,4,5,5,4,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,4,3,3,"yes","yes",2.6,3,3,3.4
"21","Australia",0.939,"Very high human development",45,"Male","Yes","ma","full-time",87500,"",0,0,"Village","Separated",2,1,2,4,3,3,3,3,2,5,1,4,3,1,2,2,2,3,3,4,1,4,4,4,5,5,5,3,5,3,5,1,5,4,4,5,4,2,4,5,5,5,1,2,3,2,3,"yes","yes",3,3,4.15,2.2
"22","Australia",0.939,"Very high human development",55,"Male","No","lthigh","unemployed",15000,"",6,6,"Rural/Country","Divorced",0,0,3,3,2,3,3,1,1,1,2,3,2,2,3,3,3,1,1,2,1,3,4,2,2,3,2,2,4,3,4,1,2,4,1,1,3,2,3,4,3,4,2,1,1,1,1,"no","",2.8,2,2.7,1.2
"23","Australia",0.939,"Very high human development",45,"Male","Yes","deg","full-time",55000,"Technical Officer",1,9,"Large-City","Married",2,0,3,3,3,1,1,1,1,2,3,2,1,1,3,1,2,1,3,2,2,2,2,2,4,1,1,1,1,2,4,1,3,2,1,3,3,3,3,3,1,2,3,4,4,4,3,"yes","no",2.2,2,2.15,3.6
"24","Australia",0.939,"Very high human development",55,"Male","Yes","ma","full-time",35000,"",3,5,"","Married",0,2,4,4,4,4,4,2,1,3,2,3,3,3,4,3,3,4,2,4,1,2,4,3,4,4,4,2,4,4,4,2,2,4,3,4,3,5,4,4,3,5,4,5,4,5,4,"yes","yes",4,3,3.6,4.4
"25","Australia",0.939,"Very high human development",55,"Female","Yes","ma","student",15000,"",2,2,"Medium-Sized","Married",0,2,3,2,2,1,1,1,1,3,3,2,1,1,3,1,2,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,4,1,2,4,3,5,5,3,"yes","no",1.8,2,2.1,4
"26","Australia",0.939,"Very high human development",16,"Female","No","high","student",10000,"",0,0,"Village","",0,0,3,4,4,1,1,1,4,3,5,5,4,5,5,5,5,3,5,5,5,3,5,2,2,5,5,1,5,3,5,5,5,5,3,5,5,5,4,5,5,4,1,1,1,4,3,"yes","yes",2.6,4,4.2,2
"27","Australia",0.939,"Very high human development",20,"Female","No","ltuni","student",10000,"",2,0,"Village","Single",0,0,1,3,2,2,2,2,2,1,3,1,1,1,4,1,2,2,2,5,2,5,3,1,2,5,5,2,5,2,5,1,3,5,2,2,2,5,5,5,3,4,5,4,5,5,5,"yes","no",2,2,3.35,4.8
"28","Australia",0.939,"Very high human development",37,"Male","No","high","full-time",150000,"",6,3,"Village","Single",0,0,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,3,2,2,2,2,2,3,3,3,1,"no","no",2.2,2,1.85,2.4
"29","Australia",0.939,"Very high human development",28,"Female","No","ltuni","full-time",55000,"",2,2,"Village","Single",0,0,4,4,4,5,5,2,4,3,5,4,5,5,4,5,5,3,5,4,5,5,5,4,4,5,4,5,4,4,4,4,5,3,1,3,4,4,4,5,5,4,1,2,2,1,2,"yes","yes",4.4,4,4.05,1.6
"30","Australia",0.939,"Very high human development",32,"Female","Yes","phd","student",45000,"",4,6,"Village","Married",0,1,3,3,5,5,5,3,1,3,2,5,4,3,5,4,5,3,3,3,1,4,4,3,1,2,3,1,5,5,5,1,3,5,3,3,5,1,1,5,4,5,3,2,2,3,2,"yes","no",4.2,3,3.25,2.4
"31","Australia",0.939,"Very high human development",55,"Female","No","deg","full-time",15000,"",6,0,"Village","Single",0,0,3,1,2,2,1,2,1,2,1,2,3,3,2,1,3,3,1,4,1,2,3,1,1,1,3,1,3,2,3,1,2,3,2,3,3,2,2,3,3,2,5,5,5,5,5,"no","no",1.8,2,2.2,5
"32","Australia",0.939,"Very high human development",55,"Female","Yes","dip","full-time",87500,"",14,0,"Village","Single",3,1,3,2,3,2,2,1,1,4,2,2,1,1,3,1,3,4,3,4,2,2,3,4,2,4,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,"yes","no",2.4,2,3.1,3.4
"33","Australia",0.939,"Very high human development",19,"Male","No","ltuni","student",15000,"",2,4,"Village","Single",0,0,4,3,4,3,3,1,1,2,3,2,4,5,4,3,4,3,3,4,4,5,4,3,4,5,2,2,4,4,4,2,4,4,1,4,4,4,4,5,5,5,4,4,4,3,2,"yes","yes",3.4,3,3.7,3.4
"34","Australia",0.939,"Very high human development",28,"Female","No","ma","full-time",55000,"",1,0,"Village","Single",0,0,2,3,3,3,3,2,3,2,4,3,5,4,3,4,4,2,4,4,3,4,4,3,2,2,2,3,4,3,4,3,3,4,2,2,4,2,2,3,4,4,3,3,3,3,2,"yes","yes",2.8,3,3,2.8
"35","Australia",0.939,"Very high human development",22,"Male","No","ltuni","student",10000,"",2,0,"Village","Single",0,0,2,5,3,3,4,4,4,5,1,5,4,5,4,5,5,4,3,5,4,4,4,5,2,5,4,1,5,5,5,5,4,4,4,4,5,1,1,5,5,4,2,4,3,3,2,"yes","yes",3.4,4,3.9,2.8
"36","Australia",0.939,"Very high human development",28,"Male","No","ltuni","part-time",15000,"",0,6,"Village","Single",0,0,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,5,5,1,1,1,3,1,"yes","yes",5,5,4.35,1.4
"37","Australia",0.939,"Very high human development",28,"Male","No","deg","full-time",35000,"",2,0,"Village","Single",0,0,5,5,5,5,5,3,3,5,1,1,3,4,5,5,5,4,4,5,2,5,5,4,5,3,5,3,5,4,4,2,1,5,5,5,5,5,5,5,4,5,1,3,3,4,1,"yes","yes",5,4,4.25,2.4
"38","Australia",0.939,"Very high human development",28,"Male","No","deg","full-time",45000,"",2,0,"Village","Separated",0,0,4,5,5,5,5,1,1,4,2,5,5,5,4,2,5,4,3,3,3,5,5,5,4,4,5,4,4,4,5,5,3,5,3,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,3,4.45,1
"39","Australia",0.939,"Very high human development",28,"Male","No","deg","student",10000,"",0,0,"Village","Single",0,0,5,5,3,2,1,1,1,2,1,5,5,5,5,5,5,4,1,4,1,5,5,1,4,1,1,4,5,2,5,1,2,5,1,5,5,5,1,5,5,5,3,2,2,3,1,"yes","yes",3.2,3,3.4,2.2
